Municipality;turnout_Neuchatel_2021
Boudry;27.75
Brot-Plamboz;52.11
Cornaux;30.55
Cortaillod;31.70
Cressier (NE);29.99
Enges;39.23
Hauterive (NE);37.55
La Brévine;53.35
La Chaux-de-Fonds;29.56
La Chaux-du-Milieu;49.88
La Côte-aux-Fées;40.54
La Grande Béroche;33.23
La Sagne;37.97
La Tène;31.20
Le Cerneux-Péquignot;47.54
Le Landeron;29.66
Le Locle;29.80
Les Planchettes;36.21
Les Ponts-de-Martel;44.53
Les Verrières;28.28
Lignières;37.55
Milvignes;36.83
Neuchâtel;32.70
Rochefort;41.73
Saint-Blaise;40.34
Val-de-Ruz;36.06
Val-de-Travers;28.90